VendorID,pickup_datetime,pickup_longitude,pickup_lattitude,fare_amount,tip_amount,passenger_count,trip_distance
2,2015010900,-74.01019287109375,40.719791412353516,24.5,5,5,7.29
1,2015010900,-73.863265991210937,40.770217895507813,18.5,5.79,1,5.80
1,2015010900,-74.008171081542969,40.737754821777344,7.5,1.2,1,1.70
2,2015010900,-73.987052917480469,40.719020843505859,9.5,2,5,2.21
2,2015010900,-73.987327575683594,40.741085052490234,8.5,1.8,3,1.92
2,2015010900,-73.984916687011719,40.728199005126953,8,1.7,1,1.69
2,2015010900,-73.985847473144531,40.722969055175781,24,6.12,2,6.29
1,2015010900,0,0,7.5,1.75,1,1.50
1,2015010900,-73.971916198730469,40.765453338623047,10.5,1.2,2,2.80
1,2015010900,-73.9493408203125,40.801891326904297,2.5,0,1,.00
2,2015010900,-73.951400756835938,40.825363159179688,3.5,0,1,.36
1,2015010900,-74.004501342773438,40.71649169921875,11,0,1,2.30
2,2015010900,-73.862823486328125,40.768798828125,29.5,6,6,10.31
2,2015010900,-74.001510620117187,40.735980987548828,7,1,1,1.59
2,2015010900,-73.994926452636719,40.725547790527344,8,1.7,1,1.69
1,2015010900,-73.865821838378906,40.770683288574219,13.5,0,1,4.20
2,2015010900,-73.98944091796875,40.716861724853516,17,1,1,5.03
2,2015010900,-73.981826782226563,40.778388977050781,4.5,0,6,.83
1,2015010900,-73.975700378417969,40.754634857177734,5,1.85,1,.70
2,2015010900,-73.956436157226563,40.77142333984375,8.5,0,2,2.09
1,2015010900,-73.955970764160156,40.776123046875,7,1.65,4,1.60
2,2015010900,-73.974655151367188,40.742080688476562,10,2.1,1,2.28
2,2015010900,-73.968002319335938,40.755393981933594,4.5,0,3,.79
2,2015010900,-73.971221923828125,40.751201629638672,8,0,6,1.57
2,2015010900,-73.983642578125,40.743976593017578,5,0,2,.73
2,2015010900,-73.939781188964844,40.794273376464844,6,1.3,5,1.34
2,2015010900,-74.002365112304687,40.733535766601563,4.5,0,1,.61
1,2015010900,-74.005233764648437,40.718856811523438,16,3.46,2,4.40
1,2015010900,-74.007110595703125,40.748878479003906,21.5,4,1,5.80
2,2015010900,-73.862953186035156,40.768989562988281,31,5,5,10.52
2,2015010900,-73.996986389160156,40.747440338134766,18.5,3.8,6,4.93
1,2015010900,-73.874420166015625,40.774017333984375,29.5,0,1,.00
2,2015010900,-73.982719421386719,40.754371643066406,11.5,2,6,3.07
1,2015010900,-73.987930297851563,40.746368408203125,7,2.05,2,.80
2,2015010900,-73.987434387207031,40.744941711425781,7,0,1,1.39
2,2015010900,-73.993667602539063,40.713840484619141,7.5,1.6,2,1.63
2,2015010900,-73.974777221679688,40.793060302734375,11,0,5,2.55
2,2015010900,-73.987388610839844,40.733188629150391,7,0,1,1.29
2,2015010900,-73.991355895996094,40.758045196533203,10,0,2,2.10
1,2015010900,-73.985687255859375,40.75238037109375,7.5,2.12,1,1.40
1,2015010900,-73.98272705078125,40.731224060058594,21.5,4.56,1,6.60
2,2015010900,-73.988594055175781,40.722698211669922,4,0.9,3,.57
2,2015010900,-73.987289428710938,40.722087860107422,14,4.35,6,3.78
1,2015010900,-73.985366821289063,40.778724670410156,4,1,1,.60
2,2015010900,-73.991966247558594,40.729221343994141,21.5,4.4,1,5.28
1,2015010900,-73.79046630859375,40.643634796142578,33,6.85,1,11.60
1,2015010900,-73.992141723632813,40.749240875244141,47.5,4,1,16.40
1,2015010900,-73.972297668457031,40.757423400878906,11,2,1,2.80
2,2015010900,-73.991004943847656,40.760780334472656,6.5,0,5,1.53
1,2015010900,-73.986763000488281,40.742851257324219,4.5,1,1,.80
1,2015010900,-73.982078552246094,40.768390655517578,7.5,1.22,3,1.70
2,2015010900,-73.978752136230469,40.750480651855469,7.5,1.5,5,1.41
1,2015010900,-73.981422424316406,40.689720153808594,7.5,0,1,1.80
2,2015010900,-73.999702453613281,40.711738586425781,15,0,1,4.54
2,2015010900,-73.781982421875,40.644718170166016,52,0,1,18.18
1,2015010900,-73.989234924316406,40.725936889648438,11,2.45,1,3.00
1,2015010900,-73.955825805664062,40.772216796875,7.5,0,1,1.90
1,2015010900,-73.982322692871094,40.768684387207031,6.5,0,1,1.00
2,2015010900,-73.998672485351563,40.744903564453125,27.5,0,1,7.85
1,2015010900,-74.016151428222656,40.710063934326172,17,0,1,5.30
2,2015010900,-73.981971740722656,40.746528625488281,4.5,1,2,.59
2,2015010900,-73.973098754882812,40.785221099853516,6.5,1.4,1,1.40
2,2015010900,-73.993728637695313,40.746898651123047,8,0,1,1.80
2,2015010900,-73.981796264648437,40.758350372314453,16,2.7,5,4.52
1,2015010900,-73.982841491699219,40.764427185058594,31.5,3,1,10.20
2,2015010900,-73.871414184570313,40.772140502929688,28.5,4,1,9.82
1,2015010900,-73.984230041503906,40.756641387939453,9.5,0,1,2.20
1,2015010900,-74.000823974609375,40.731613159179688,8,0,1,1.20
2,2015010900,-73.992462158203125,40.768413543701172,22,4.5,6,7.37
1,2015010900,-73.984169006347656,40.7615966796875,7,0,1,1.60
2,2015010900,-74.003959655761719,40.741889953613281,15,0,1,4.08
2,2015010900,-73.982460021972656,40.756969451904297,9.5,2,5,2.89
1,2015010900,-74.006591796875,40.718830108642578,9,3.05,1,2.30
1,2015010900,-73.991790771484375,40.750263214111328,19.5,4.15,1,5.70
2,2015010900,-73.955680847167969,40.779453277587891,9.5,0,2,2.56
1,2015010900,-74.008056640625,40.723289489746094,33,7,1,10.30
1,2015010900,-73.984359741210937,40.759586334228516,7.5,0,1,1.30
2,2015010900,-74.000640869140625,40.735805511474609,9.5,2,3,1.69
2,2015010900,-73.982444763183594,40.767398834228516,3.5,0.8,1,.36
2,2015010900,-73.974105834960938,40.764068603515625,15,3.1,1,4.17
1,2015010900,-73.862991333007813,40.757839202880859,7,1,1,1.20
2,2015010900,-73.981010437011719,40.747726440429688,7,1,6,1.73
2,2015010900,-73.920280456542969,40.758743286132813,6,0,1,.89
1,2015010900,-74.006782531738281,40.730945587158203,6,2.19,1,.80
1,2015010900,-74.004600524902344,40.7421875,6.5,1.55,2,.80
1,2015010900,-73.978401184082031,40.777252197265625,9.5,0,1,2.00
1,2015010900,-73.983642578125,40.726020812988281,15.5,2.2,1,4.40
2,2015010900,-73.971298217773438,40.757896423339844,19,4.88,2,6.10
1,2015010900,-73.992271423339844,40.748680114746094,12.5,0,1,3.50
1,2015010900,-73.988639831542969,40.756755828857422,7,0,1,1.20
1,2015010900,0,0,52,0,1,16.20
1,2015010900,-74.002609252929688,40.749691009521484,6,1.45,1,1.40
1,2015010900,0,0,15.5,2,1,4.10
2,2015010900,-73.983535766601563,40.755161285400391,4.5,0,1,.65
1,2015010900,-73.973281860351562,40.743938446044922,5,1,1,.80
1,2015010900,-73.9903564453125,40.734580993652344,7.5,1.75,2,1.40
1,2015010900,-73.996719360351563,40.746265411376953,7,1.65,1,1.10
2,2015010900,-73.988441467285156,40.764240264892578,7,0,1,1.42
1,2015010900,-74.002037048339844,40.719112396240234,6,1.45,2,1.10
2,2015010900,-73.937026977539063,40.804187774658203,15,0,1,4.19
1,2015010900,-74.004531860351563,40.707183837890625,4.5,0,1,.50
1,2015010900,-73.985939025878906,40.746448516845703,12,0,1,3.10
2,2015010900,-73.794654846191406,40.644828796386719,52,0,2,17.64
2,2015010900,-74.001411437988281,40.739261627197266,19.5,0,5,5.93
1,2015010900,-73.985595703125,40.752906799316406,4.5,0,2,.60
1,2015010900,-73.783309936523437,40.648704528808594,44.5,0,2,16.80
2,2015010900,-73.965087890625,40.755199432373047,23.5,0,2,8.16
1,2015010900,-73.995155334472656,40.749721527099609,8.5,0,1,1.60
2,2015010900,-74.000885009765625,40.727497100830078,7,1,1,1.28
2,2015010900,-74.001907348632812,40.727031707763672,25,5.1,2,8.02
1,2015010900,-73.940986633300781,40.789150238037109,6.5,1.55,2,1.30
2,2015010900,-74.007453918457031,40.740077972412109,9,1.9,1,1.88
1,2015010900,-74.003654479980469,40.72625732421875,5,0,2,.90
1,2015010900,-73.986953735351563,40.740501403808594,8,1.86,1,1.70
2,2015010900,-73.992790222167969,40.723957061767578,19.5,0,2,5.30
2,2015010900,-73.993392944335938,40.730979919433594,14.5,3,2,3.62
1,2015010900,-73.985427856445313,40.721893310546875,14,0,1,4.30
2,2015010900,-73.994598388671875,40.735050201416016,4.5,0.5,2,.72
1,2015010900,-74.000526428222656,40.755157470703125,7,0,1,1.90
2,2015010900,-73.981056213378906,40.760860443115234,10,2.1,1,2.48
2,2015010900,-73.96990966796875,40.76055908203125,10.5,2,1,3.02
2,2015010900,-74.010345458984375,40.718868255615234,18.5,3,1,3.95
1,2015010900,-73.992912292480469,40.735691070556641,17,5.45,2,5.60
2,2015010900,-73.98577880859375,40.731327056884766,21.5,4.4,5,5.92
1,2015010900,-73.986373901367188,40.726486206054687,6,1.46,2,.90
2,2015010900,-73.974639892578125,40.758296966552734,6,1.3,6,1.36
1,2015010900,-73.98736572265625,40.721889495849609,16.5,3,1,4.20
2,2015010900,-73.982826232910156,40.756839752197266,13,2.7,1,3.45
1,2015010900,-73.98712158203125,40.720565795898437,10.5,0,1,3.10
2,2015010900,-73.978134155273438,40.786563873291016,5,1.1,1,.72
1,2015010900,-73.989860534667969,40.756752014160156,3,0.86,1,.30
1,2015010900,-73.976776123046875,40.747493743896484,18,2,1,5.80
2,2015010900,-73.977363586425781,40.789649963378906,17.5,1.2,5,5.15
1,2015010900,-73.984809875488281,40.742790222167969,21.5,0,1,6.30
2,2015010900,-73.977798461914063,40.787040710449219,9.5,2,1,1.98
2,2015010900,-73.926223754882813,40.694080352783203,7.5,0,4,1.46
2,2015010900,-73.983428955078125,40.765792846679688,17.5,0,1,4.89
1,2015010900,-73.964874267578125,40.755558013916016,3.5,0.5,2,.40
1,2015010900,-73.965988159179688,40.765415191650391,8,0,1,2.10
1,2015010900,-74.030075073242188,40.749092102050781,2.5,0,1,.00
2,2015010900,-74.006088256835937,40.742237091064453,26,5.3,2,7.62
1,2015010900,-73.980110168457031,40.739162445068359,6,1.45,1,1.00
1,2015010900,-74.003166198730469,40.734214782714844,22,3,2,5.80
1,2015010900,-73.965850830078125,40.760326385498047,5,1.5,1,.90
1,2015010900,-73.952751159667969,40.772109985351562,3.5,1.2,1,.50
2,2015010900,-73.985099792480469,40.758720397949219,5.5,0,1,.94
2,2015010900,-73.988128662109375,40.754238128662109,4.5,1,1,.78
1,2015010900,-73.994087219238281,40.741069793701172,13,2,1,3.90
2,2015010900,-74.001976013183594,40.740455627441406,8,1.7,1,1.59
2,2015010900,-73.938209533691406,40.851039886474609,19,3.9,5,6.42
1,2015010900,-73.990692138671875,40.736644744873047,10.5,2.35,1,2.00
2,2015010900,-73.950942993164063,40.770858764648438,23,2.7,1,8.12
2,2015010900,-73.998451232910156,40.740409851074219,5,1.1,3,.94
2,2015010900,-73.9688720703125,40.757858276367188,11.5,2.4,5,3.20
2,2015010900,-73.992279052734375,40.714981079101562,4.5,1,2,.80
1,2015010900,-73.971389770507812,40.762413024902344,15,3.26,1,4.30
1,2015010900,0,0,9,0,3,2.10
1,2015010900,-74.002006530761719,40.726955413818359,6,1.45,1,1.00
2,2015010900,-73.985160827636719,40.759300231933594,16.5,4,1,4.56
2,2015010900,-73.976997375488281,40.762580871582031,21.5,0,1,6.44
1,2015010900,-73.982307434082031,40.755031585693359,5.5,0,1,.70
2,2015010900,-73.98150634765625,40.752593994140625,4.5,1.25,1,.49
1,2015010900,-74.006744384765625,40.730205535888672,8,1.85,1,1.70
2,2015010900,-73.959617614746094,40.771007537841797,3.5,0,2,.39
2,2015010900,-73.985923767089844,40.72296142578125,35.5,0,1,11.72
1,2015010900,-73.978019714355469,40.786357879638672,8.5,1.95,1,1.80
2,2015010900,-73.974311828613281,40.762458801269531,14,2.5,1,3.60
1,2015010900,-73.998283386230469,40.750797271728516,5.5,0,1,.90
2,2015010900,-74.008514404296875,40.740547180175781,10,2.1,6,2.59
1,2015010900,-73.992866516113281,40.742771148681641,6,0,1,1.10
1,2015010900,-73.959693908691406,40.773731231689453,13,2.86,1,3.50
2,2015010900,-73.985198974609375,40.72357177734375,15.5,0,1,4.30
2,2015010900,-73.947769165039063,40.724750518798828,3.5,0,2,.47
2,2015010900,-73.953582763671875,40.775386810302734,4,0,1,.55
1,2015010900,-73.972114562988281,40.749984741210937,6.5,1.55,1,1.20
1,2015010900,-73.983489990234375,40.761066436767578,7,1.65,1,1.50
1,2015010900,-73.983955383300781,40.737400054931641,8,2.79,2,2.00
1,2015010900,-73.988868713378906,40.775077819824219,6,0,3,1.10
2,2015010900,-73.999740600585938,40.722126007080078,13,3.38,5,3.44
1,2015010900,-73.98980712890625,40.729682922363281,7.5,0,1,1.70
2,2015010900,-73.982223510742188,40.768905639648438,4,0,1,.47
2,2015010900,-73.972648620605469,40.764949798583984,120,0,2,34.06
1,2015010900,0,0,6.5,1.55,1,1.20
2,2015010900,-73.953804016113281,40.779258728027344,9.5,1,1,2.50
2,2015010900,-73.986434936523438,40.722221374511719,18.5,1,6,5.56
2,2015010900,-74.002143859863281,40.726783752441406,5,1.1,2,.66
2,2015010900,-74.00518798828125,40.719329833984375,7,0,2,1.59
1,2015010900,-73.988739013671875,40.736572265625,4.5,1.45,2,.80
2,2015010900,-73.783607482910156,40.648571014404297,18.5,4,1,6.44
1,2015010900,-73.78973388671875,40.646846771240234,11,0,1,3.40
2,2015010900,-73.981040954589844,40.744800567626953,6.5,1.4,1,1.37
1,2015010900,-73.95330810546875,40.745208740234375,18,4.8,1,4.60
1,2015010900,-73.970390319824219,40.762966156005859,23.5,4.95,1,7.70
2,2015010900,-73.978897094726563,40.750446319580078,3.5,0.8,4,.34
1,2015010900,-74.005134582519531,40.719661712646484,9,2.5,2,2.20
1,2015010900,-73.988212585449219,40.745044708251953,12,0,1,3.30
2,2015010900,-73.988853454589844,40.744670867919922,7.5,0,1,1.56
2,2015010900,-73.984870910644531,40.768268585205078,5,1.1,1,.84
2,2015010900,-74.002433776855469,40.739688873291016,22.5,4.6,1,5.52
2,2015010900,-73.996559143066406,40.756809234619141,9.5,0,1,2.42
1,2015010900,-73.992080688476562,40.748893737792969,11,1.5,2,3.00
1,2015010900,-73.988395690917969,40.759006500244141,8,2.3,1,1.60
1,2015010900,-73.9891357421875,40.757717132568359,7,2.05,1,1.20
2,2015010900,-73.985542297363281,40.763191223144531,13,2,2,3.36
2,2015010900,-73.983848571777344,40.75897216796875,9,0,1,1.90
1,2015010900,-73.937126159667969,40.804706573486328,17,0,1,4.70
2,2015010900,-73.948928833007813,40.809314727783203,7,0,4,1.34
2,2015010900,-73.991401672363281,40.759773254394531,15,0,5,3.75
1,2015010900,-73.873016357421875,40.774070739746094,27.5,5.75,1,9.70
2,2015010900,-73.978805541992188,40.759262084960938,16.5,5.58,1,4.49
2,2015010900,-73.96221923828125,40.760513305664063,18.5,0,5,5.38
2,2015010900,-73.982276916503906,40.747493743896484,13.5,0,1,4.15
2,2015010900,-73.967857360839844,40.762771606445313,15,0,1,4.51
1,2015010900,-73.980300903320313,40.783622741699219,6.5,0,1,1.00
2,2015010900,-73.987899780273437,40.722610473632812,25,0,1,6.81
2,2015010900,-73.982620239257813,40.777271270751953,13.5,1.2,1,3.83
2,2015010900,-73.973320007324219,40.755847930908203,7,2.25,6,1.63
2,2015010900,-73.927162170410156,40.865646362304688,9.5,2,2,1.93
2,2015010900,-73.983528137207031,40.731719970703125,3.5,0.8,1,.35
1,2015010900,-73.988883972167969,40.739524841308594,11.5,0,1,3.00
2,2015010900,-73.977577209472656,40.726669311523438,4,0,1,.44
1,2015010900,-73.970443725585937,40.756381988525391,5.5,0,1,1.30
2,2015010900,-73.987014770507812,40.721012115478516,14,2,2,3.49
1,2015010900,-73.997665405273438,40.756614685058594,5.5,1,1,1.10
2,2015010900,-73.987701416015625,40.719921112060547,9,1.5,2,1.90
2,2015010900,-73.989326477050781,40.719028472900391,6,1,1,.91
2,2015010900,-73.975128173828125,40.759750366210938,7,0,1,1.38
2,2015010900,-74.005088806152344,40.719963073730469,13,2.7,1,3.55
2,2015010900,-73.982231140136719,40.762386322021484,6,1.3,4,.87
1,2015010900,-74.003578186035156,40.732379913330078,10,2,1,2.50
2,2015010900,-73.781967163085938,40.644840240478516,52,8,1,24.71
1,2015010900,-73.955741882324219,40.779388427734375,6,0,1,1.30
1,2015010900,-73.985649108886719,40.767673492431641,5.5,0,1,.90
1,2015010900,-73.776657104492187,40.645381927490234,57,0,1,21.20
2,2015010900,-73.977989196777344,40.745731353759766,6.5,1.4,2,1.24
1,2015010900,-73.97821044921875,40.752796173095703,6.5,1.56,2,1.10
1,2015010900,-73.99884033203125,40.732349395751953,8.5,0,2,2.00
2,2015010900,-73.965095520019531,40.760120391845703,5.5,1.2,5,1.01
1,2015010900,-73.98883056640625,40.744705200195313,5,0,2,.70
2,2015010900,-73.986480712890625,40.741348266601563,7.5,2,3,1.58
1,2015010900,-73.873054504394531,40.774135589599609,16,3.45,1,4.50
1,2015010900,-73.981307983398437,40.758598327636719,22,4.65,1,6.50
1,2015010900,-73.983085632324219,40.726757049560547,13.5,2.95,1,3.30
1,2015010900,-73.967201232910156,40.756767272949219,6,0,2,1.10
