VendorID,pickup_datetime,pickup_longitude,pickup_lattitude,fare_amount,tip_amount,passenger_count,trip_distance
1,2015012500,-73.991584777832031,40.726943969726563,10,2.8,3,2.20
2,2015012500,-73.982101440429688,40.767318725585938,8.5,1.8,1,1.54
1,2015012500,-73.983573913574219,40.760524749755859,14.5,3.15,1,3.60
2,2015012500,-73.9832763671875,40.767948150634766,2.5,0.76,1,.10
2,2015012500,-73.978775024414063,40.724197387695313,6.5,1.56,4,1.18
1,2015012500,-73.993507385253906,40.755237579345703,13.5,0,2,2.30
1,2015012500,-74.001991271972656,40.740345001220703,4.5,0,4,.70
1,2015012500,-73.988288879394531,40.754646301269531,12.5,0,1,4.10
1,2015012500,-74.000053405761719,40.726631164550781,6,1,1,.90
1,2015012500,-73.991485595703125,40.726863861083984,29.5,6.15,2,9.60
1,2015012500,-73.986648559570313,40.719654083251953,22,0,1,5.00
2,2015012500,-73.978591918945313,40.728672027587891,13,2.86,1,3.29
2,2015012500,-73.957962036132813,40.773200988769531,4,0,2,.79
2,2015012500,-73.999794006347656,40.738792419433594,14.5,3.16,6,3.69
1,2015012500,-74.008285522460937,40.716648101806641,25,0,1,8.40
2,2015012500,-74.000297546386719,40.728729248046875,7.5,0,1,.99
1,2015012500,-73.985015869140625,40.724048614501953,7.5,1.75,2,1.70
1,2015012500,-73.986541748046875,40.734935760498047,5,1.26,2,.50
1,2015012500,-73.953323364257813,40.775642395019531,3.5,0,4,.20
2,2015012500,-73.999931335449219,40.726905822753906,7,1.66,1,1.12
2,2015012500,-73.958152770996094,40.769050598144531,13,0,3,3.82
2,2015012500,-73.995948791503906,40.725345611572266,4.5,1.16,1,.60
2,2015012500,-74.004661560058594,40.742118835449219,10.5,0,5,2.54
2,2015012500,-73.983024597167969,40.726833343505859,20.5,4.36,1,4.58
1,2015012500,-73.951240539550781,40.744106292724609,16.5,3.56,1,4.90
2,2015012500,-74.000640869140625,40.73577880859375,5.5,0,1,.98
2,2015012500,-73.987098693847656,40.744720458984375,33,0,1,11.03
2,2015012500,-74.001823425292969,40.751056671142578,7,1,1,1.11
2,2015012500,-74.007499694824219,40.725948333740234,9.5,0,1,2.24
1,2015012500,-73.982780456542969,40.756629943847656,9.5,1.5,1,2.70
1,2015012500,-73.991867065429688,40.749652862548828,14.5,0,1,4.20
2,2015012500,-73.983634948730469,40.7298583984375,28,0,3,7.98
1,2015012500,-73.982231140136719,40.740024566650391,16.5,3.55,2,5.60
1,2015012500,-73.978973388671875,40.758529663085937,5.5,0,2,.80
1,2015012500,-73.989837646484375,40.729682922363281,5,1.25,1,.60
2,2015012500,-73.99169921875,40.726879119873047,5.5,1,5,1.00
1,2015012500,0,0,4,0,1,.70
2,2015012500,-73.973381042480469,40.749805450439453,9,1.9,1,2.39
2,2015012500,-73.981101989746094,40.690029144287109,17.5,0,2,4.98
1,2015012500,-73.996391296386719,40.743137359619141,6.5,1.56,2,1.10
1,2015012500,-73.982048034667969,40.740917205810547,7.5,0,1,1.80
1,2015012500,-73.938529968261719,40.822490692138672,30.5,3,1,10.80
