VendorID,pickup_datetime,pickup_longitude,pickup_lattitude,fare_amount,tip_amount,passenger_count,trip_distance
1,2015011800,-73.973487854003906,40.678752899169922,9,1,1,1.90
2,2015011800,-73.989517211914062,40.730045318603516,13.5,2.8,2,3.57
2,2015011800,-74.002174377441406,40.728225708007813,6.5,1.4,1,1.13
1,2015011800,-73.963493347167969,40.7745361328125,7,2.05,1,1.50
1,2015011800,-73.976493835449219,40.765392303466797,9.5,2,1,2.40
1,2015011800,-73.956802368164062,40.745922088623047,18.5,0,1,5.80
1,2015011800,-73.979721069335938,40.722755432128906,13,0,4,3.00
1,2015011800,-74.007568359375,40.743236541748047,7,2,1,1.80
2,2015011800,-73.992286682128906,40.728858947753906,6.5,0,1,1.29
1,2015011800,-73.989219665527344,40.726402282714844,10.5,0,1,2.30
1,2015011800,-73.990180969238281,40.725101470947266,5.5,2,2,1.00
1,2015011800,0,0,12,0,2,2.30
2,2015011800,-73.994178771972656,40.725811004638672,13.5,2.8,5,3.43
2,2015011800,-73.971359252929688,40.762733459472656,17,2,1,5.32
2,2015011800,-73.975288391113281,40.78778076171875,7.5,0,1,1.43
1,2015011800,-73.890548706054688,40.746730804443359,9.5,0,1,2.30
1,2015011800,-73.995040893554687,40.760185241699219,34,3,1,11.80
1,2015011800,-74.007652282714844,40.7430419921875,6,0,4,.60
2,2015011800,-73.942176818847656,40.791080474853516,13.5,2.8,4,3.93
1,2015011800,-73.981437683105469,40.780769348144531,13.5,4,1,3.40
1,2015011800,-73.973373413085937,40.790187835693359,8.5,0,1,1.90
2,2015011800,-73.983428955078125,40.750019073486328,6,1.3,1,1.34
1,2015011800,-73.977737426757813,40.742446899414062,6,1.46,3,1.10
2,2015011800,-74.001136779785156,40.717796325683594,24,4.9,1,4.50
2,2015011800,-73.988883972167969,40.721817016601563,16,4.12,1,3.35
1,2015011800,-73.989418029785156,40.75799560546875,16.5,3.55,2,4.10
2,2015011800,-73.982353210449219,40.772789001464844,4.5,1.5,5,.56
1,2015011800,-73.988624572753906,40.748531341552734,8,0,1,1.60
1,2015011800,-74.003196716308594,40.723991394042969,9.5,2.15,1,2.60
2,2015011800,-73.988250732421875,40.718330383300781,9,0,1,2.04
2,2015011800,-73.997360229492188,40.741703033447266,25.5,5.2,1,7.41
1,2015011800,0,0,7.5,1,4,1.00
2,2015011800,-73.980697631835938,40.729930877685547,9.5,1,6,1.84
1,2015011800,-73.973220825195313,40.761280059814453,3,0,1,.20
2,2015011800,0,0,9,1.9,1,1.99
2,2015011800,-73.985984802246094,40.72662353515625,13,2.7,3,3.76
2,2015011800,-73.978363037109375,40.724620819091797,21.5,4.4,2,5.88
2,2015011800,-74.000434875488281,40.727382659912109,6.5,0,5,.79
1,2015011800,-73.982704162597656,40.731132507324219,6,1,1,.80
1,2015011800,-74.000335693359375,40.727256774902344,26.5,0,1,6.20
2,2015011800,-74.002571105957031,40.733928680419922,5.5,3,1,.60
1,2015011800,-73.9857177734375,40.727104187011719,3,0.85,1,.30
2,2015011800,-74.001213073730469,40.736564636230469,7,1.5,1,1.57
1,2015011800,0,0,6,0.1,1,1.10
1,2015011800,-74.006393432617188,40.708229064941406,9.5,2.7,1,2.10
2,2015011800,-73.974166870117187,40.743038177490234,12,1,1,3.18
1,2015011800,-73.979705810546875,40.735042572021484,9.5,0,2,1.50
1,2015011800,-73.996963500976563,40.725383758544922,17,3.65,2,4.20
1,2015011800,-73.992523193359375,40.756443023681641,15.5,0,1,3.70
1,2015011800,-74.002555847167969,40.729141235351563,7.5,1.75,4,1.10
1,2015011800,-73.980911254882812,40.737724304199219,11.5,2.05,1,2.80
1,2015011800,-74.007835388183594,40.742977142333984,16.5,0,1,4.20
1,2015011800,-73.971260070800781,40.7979736328125,5.5,0,3,1.00
2,2015011800,-74.005622863769531,40.740585327148438,11,2.3,3,2.76
1,2015011800,-73.979324340820313,40.740505218505859,9.5,2,2,1.80
1,2015011800,-73.963050842285156,40.717086791992188,16.5,0,1,3.20
2,2015011800,-73.990257263183594,40.771678924560547,18.5,3.8,3,5.02
1,2015011800,-73.990623474121094,40.734672546386719,9,1.5,1,1.10
1,2015011800,-73.963134765625,40.774215698242187,14,3.05,1,3.40
1,2015011800,-73.953567504882813,40.770919799804687,12,0,1,3.30
1,2015011800,-73.988906860351563,40.748130798339844,4,0.75,1,.50
1,2015011800,-74.001937866210937,40.735176086425781,7.5,1.75,1,1.50
1,2015011800,-73.992866516113281,40.730197906494141,32.5,0,2,10.30
2,2015011800,-73.969955444335937,40.753101348876953,9.5,1.5,5,2.15
2,2015011800,-73.952285766601563,40.714118957519531,16,3.3,5,2.71
1,2015011800,-73.977890014648437,40.757724761962891,5.5,2,1,.80
2,2015011800,-73.948593139648437,40.71124267578125,5.5,1,2,.77
2,2015011800,-73.9898681640625,40.760555267333984,8,0,1,1.16
1,2015011800,-73.991737365722656,40.726879119873047,8,1,1,1.70
1,2015011800,-73.988807678222656,40.745037078857422,7.5,1.75,1,1.30
2,2015011800,-73.961227416992188,40.718780517578125,13.5,2.8,1,2.41
1,2015011800,-73.970954895019531,40.762748718261719,4.5,0,4,.70
1,2015011800,-73.985366821289063,40.741840362548828,11,2,1,2.40
2,2015011800,-73.981124877929688,40.741619110107422,8.5,1.8,1,2.33
2,2015011800,-73.989250183105469,40.721126556396484,16.5,3.4,1,4.16
1,2015011800,-73.982765197753906,40.7451171875,13,2.85,1,3.00
2,2015011800,-73.987289428710938,40.718418121337891,28,0,1,8.62
2,2015011800,-73.973045349121094,40.792373657226562,6.5,0,2,1.27
2,2015011800,-73.991813659667969,40.744743347167969,13,2.7,5,3.62
1,2015011800,-73.999343872070312,40.729995727539063,16,3.45,2,4.60
2,2015011800,-73.989295959472656,40.72296142578125,22.5,4.6,2,6.50
1,2015011800,-74.000625610351563,40.718410491943359,14.5,0,1,3.50
2,2015011800,-73.983894348144531,40.737895965576172,20,4.1,1,3.80
1,2015011800,-73.989776611328125,40.767288208007813,8,0,1,2.20
2,2015011800,-73.987899780273437,40.738719940185547,9,0,2,1.36
2,2015011800,-73.948173522949219,40.690361022949219,13.5,1.5,2,2.96
2,2015011800,-73.987075805664063,40.750701904296875,9,1.9,1,1.87
2,2015011800,-73.978897094726563,40.723888397216797,14,2.9,1,2.42
2,2015011800,-73.994110107421875,40.766761779785156,13,4.05,1,3.44
2,2015011800,-74.002197265625,40.726417541503906,24,4.9,3,4.53
1,2015011800,-73.941513061523438,40.677730560302734,25.5,5,1,7.90
2,2015011800,-74.003082275390625,40.72412109375,13,2.7,1,2.97
1,2015011800,-73.990020751953125,40.725284576416016,15,1.6,2,3.10
1,2015011800,-73.99542236328125,40.717201232910156,12.5,2.75,1,3.10
2,2015011800,-73.980339050292969,40.760822296142578,6,1.95,1,1.08
2,2015011800,-73.9779052734375,40.729705810546875,16.5,0,1,4.25
2,2015011800,-73.977493286132812,40.752017974853516,5.5,0,5,1.06
2,2015011800,-73.989051818847656,40.756881713867188,6,1,1,.98
2,2015011800,-73.985679626464844,40.71746826171875,16,0,2,5.55
1,2015011800,-73.980377197265625,40.722049713134766,14.5,0,1,3.80
