VendorID,pickup_datetime,pickup_longitude,pickup_lattitude,fare_amount,tip_amount,passenger_count,trip_distance
1,2015011000,-73.988021850585938,40.718647003173828,15,3.25,1,3.80
2,2015011000,-74.005912780761719,40.735885620117188,8.5,0,1,2.38
1,2015011000,-73.968582153320313,40.769775390625,9,0,2,1.50
1,2015011000,-73.990318298339844,40.719535827636719,11,1.23,1,2.80
1,2015011000,-73.981674194335937,40.728351593017578,5.5,0,2,.80
1,2015011000,-74.000053405761719,40.717876434326172,47,9.65,1,14.80
1,2015011000,-73.97418212890625,40.754203796386719,5,0,1,.90
2,2015011000,-74.005599975585938,40.738498687744141,3.5,0,1,.17
2,2015011000,-73.992317199707031,40.727489471435547,8.5,2.25,1,2.00
1,2015011000,-73.983970642089844,40.74346923828125,27,3,4,6.40
1,2015011000,-73.995712280273437,40.753078460693359,23.5,0,2,6.70
1,2015011000,-73.9703369140625,40.788978576660156,5,1.25,1,.90
1,2015011000,-73.984909057617188,40.769138336181641,8.5,2,1,2.00
2,2015011000,-73.992477416992188,40.749134063720703,7.5,1.2,1,1.18
1,2015011000,0,0,10,2.25,2,2.00
2,2015011000,-73.995780944824219,40.724628448486328,36.5,7.4,2,10.87
1,2015011000,-73.994682312011719,40.765937805175781,6,1,1,1.00
1,2015011000,-73.977294921875,40.754154205322266,7,0,1,1.20
1,2015011000,-73.986343383789062,40.757469177246094,4.5,1.16,1,.60
2,2015011000,-73.970748901367188,40.796432495117187,34,0,1,10.38
2,2015011000,-73.961036682128906,40.797599792480469,10,0,2,2.76
2,2015011000,-74.0072021484375,40.743320465087891,7.5,1.6,1,1.11
1,2015011000,-74.001167297363281,40.741500854492188,32,6.6,2,10.60
1,2015011000,-73.968475341796875,40.754928588867188,18.5,3.95,1,6.00
2,2015011000,-73.94354248046875,40.825763702392578,25.5,0,1,8.80
1,2015011000,-73.993904113769531,40.726978302001953,5,1.26,1,.60
1,2015011000,-73.984138488769531,40.769626617431641,5,0,1,.80
2,2015011000,-73.930488586425781,40.853565216064453,22.5,5.75,1,6.55
1,2015011000,-73.9736328125,40.76470947265625,11,2.46,1,1.90
1,2015011000,-73.978271484375,40.773159027099609,8.5,1,2,1.70
2,2015011000,-73.997817993164062,40.721019744873047,6,1,5,.83
2,2015011000,-73.988349914550781,40.743312835693359,7,0,5,1.30
2,2015011000,-73.948585510253906,40.789108276367188,11.5,0,1,2.96
1,2015011000,-73.991966247558594,40.722446441650391,10.5,2.35,2,1.70
1,2015011000,-73.975395202636719,40.781959533691406,11.5,0,2,2.60
1,2015011000,-73.974655151367188,40.791000366210937,9,2.05,1,1.70
1,2015011000,-73.984107971191406,40.725273132324219,13,0,1,3.70
1,2015011000,-73.969345092773438,40.757724761962891,8.5,2.45,1,1.10
1,2015011000,-73.993095397949219,40.738906860351563,12.5,0,1,3.50
2,2015011000,-73.956390380859375,40.771358489990234,8,1.08,1,1.68
2,2015011000,-74.002281188964844,40.734447479248047,5.5,0,1,.92
1,2015011000,-73.976913452148437,40.751369476318359,15,0,1,4.20
2,2015011000,-73.999526977539062,40.730995178222656,5,0.82,1,.71
1,2015011000,-74.004325866699219,40.707035064697266,8.5,1.96,3,1.50
2,2015011000,-73.995719909667969,40.754150390625,9,0,1,2.00
2,2015011000,-73.983390808105469,40.695888519287109,12.5,0,1,2.91
1,2015011000,-74.000282287597656,40.728691101074219,6,1.08,1,.90
2,2015011000,-74.001091003417969,40.751880645751953,10,2.1,1,2.06
2,2015011000,-73.939308166503906,40.7503662109375,10.5,0,1,3.28
1,2015011000,-73.988388061523438,40.72003173828125,4,0,1,.50
2,2015011000,-74.001518249511719,40.736049652099609,12.5,0,5,2.81
2,2015011000,-73.976577758789063,40.754196166992188,24,7.35,5,6.02
1,2015011000,-73.97979736328125,40.749053955078125,4,1.05,1,.60
1,2015011000,-73.984542846679688,40.728805541992188,10,1.3,1,2.60
1,2015011000,-73.98565673828125,40.747493743896484,11.5,2.56,1,2.80
1,2015011000,0,0,11,4,1,2.90
1,2015011000,-73.983589172363281,40.726131439208984,10,0,1,2.50
2,2015011000,-73.918228149414063,40.759883880615234,6,0,1,.97
2,2015011000,-74.0025634765625,40.750007629394531,10,0,1,2.03
1,2015011000,-73.98394775390625,40.764720916748047,8.5,2.45,1,2.10
2,2015011000,-73.957450866699219,40.765613555908203,19,0,1,4.20
2,2015011000,-73.970474243164063,40.783683776855469,9.5,1,1,1.85
1,2015011000,-73.949668884277344,40.748054504394531,12.5,2.75,1,3.80
1,2015011000,-73.993972778320312,40.720111846923828,13,3.57,1,2.90
2,2015011000,-73.872970581054687,40.774066925048828,31,0,6,9.71
1,2015011000,-73.939888000488281,40.751258850097656,2.5,0,0,.00
1,2015011000,-73.982200622558594,40.751373291015625,6,1.46,1,1.00
2,2015011000,-73.976249694824219,40.739780426025391,21.5,3,1,6.68
1,2015011000,-73.979240417480469,40.784526824951172,8.5,1.95,1,1.60
2,2015011000,-73.99749755859375,40.714092254638672,28,5,1,6.53
2,2015011000,-73.99688720703125,40.757518768310547,7.5,0,2,1.33
1,2015011000,-73.984909057617188,40.761917114257813,8,1.85,1,1.60
