VendorID,pickup_datetime,pickup_longitude,pickup_lattitude,fare_amount,tip_amount,passenger_count,trip_distance
2,2015010100,-74.005996704101563,40.742095947265625,16.5,2.2,1,4.59
2,2015010100,-73.937713623046875,40.797218322753906,14.5,0,2,4.18
1,2015010100,-73.956863403320313,40.777664184570313,7,1.65,2,1.70
2,2015010100,-74.000312805175781,40.732589721679688,10,0,1,1.46
2,2015010100,-73.948997497558594,40.711738586425781,18,4.62,3,4.89
2,2015010100,-73.954536437988281,40.769569396972656,6,1.3,4,1.17
1,2015010100,-73.966728210449219,40.764213562011719,19.5,0,1,6.00
2,2015010100,-73.988456726074219,40.727863311767578,13.5,3.5,2,3.79
1,2015010100,-73.999946594238281,40.722206115722656,7,1.7,1,1.40
1,2015010100,-73.987464904785156,40.719867706298828,15.2,3.3,1,4.30
2,2015010100,-74.007072448730469,40.708358764648437,12,0,1,3.36
2,2015010100,-73.995353698730469,40.733806610107422,15.5,0,1,2.97
2,2015010100,-73.990692138671875,40.756248474121094,14.5,0,3,3.67
2,2015010100,-74.002433776855469,40.716381072998047,10,2.1,1,2.23
1,2015010100,-73.99200439453125,40.764488220214844,3.5,0,1,.40
2,2015010100,-73.984588623046875,40.710380554199219,4,0,1,.31
2,2015010100,-73.949150085449219,40.776859283447266,5.5,0,5,1.11
2,2015010100,-73.993148803710938,40.747791290283203,7.5,0,5,1.29
1,2015010100,-74.00128173828125,40.751640319824219,5,0,4,.50
1,2015010100,-73.923255920410156,40.867008209228516,26,0,1,8.80
2,2015010100,-74.000511169433594,40.718658447265625,5,0,5,.97
2,2015010100,-73.988380432128906,40.71875,6.5,1.75,1,1.10
2,2015010100,-74.002433776855469,40.750988006591797,14.5,0,5,2.73
2,2015010100,-74.014419555664063,40.708282470703125,12,0,1,3.12
2,2015010100,-73.925590515136719,40.761722564697266,35.5,5,1,11.67
1,2015010100,-74.005012512207031,40.722492218017578,14.7,2,1,3.60
1,2015010100,-73.982063293457031,40.740215301513672,7.7,1.8,1,1.70
1,2015010100,-73.976219177246094,40.785598754882813,10.5,2.35,1,1.70
1,2015010100,-73.987525939941406,40.751445770263672,8,0,2,1.10
1,2015010100,-73.967430114746094,40.752471923828125,10,0,1,2.80
2,2015010100,-73.9774169921875,40.758804321289063,8,0,1,.80
1,2015010100,-74.001014709472656,40.731616973876953,11,2,1,1.90
2,2015010100,-73.974411010742188,40.787132263183594,34,6.9,2,9.89
1,2015010100,0,0,12.5,2.75,2,2.60
1,2015010100,-74.0068359375,40.739509582519531,24.2,5.1,1,6.30
1,2015010100,-73.983711242675781,40.752906799316406,23.5,0,1,7.20
1,2015010100,-73.985069274902344,40.732089996337891,5,3.7,1,.90
1,2015010100,-73.994346618652344,40.767459869384766,15,0,2,4.80
1,2015010100,-73.992057800292969,40.725898742675781,28,4.4,1,6.70
1,2015010100,-73.977333068847656,40.774269104003906,16.5,0,1,3.90
2,2015010100,-74.006492614746094,40.739219665527344,12,2.5,1,2.45
2,2015010100,-73.993484497070313,40.682292938232422,24,4.9,1,6.67
1,2015010100,-73.980735778808594,40.785022735595703,22.2,7.05,2,5.00
1,2015010100,-73.9755859375,40.745044708251953,21,0,1,6.00
1,2015010100,-74.003204345703125,40.733192443847656,14.5,1.5,1,3.10
1,2015010100,-73.990699768066406,40.746227264404297,10.5,1,2,1.80
1,2015010100,-73.968955993652344,40.754367828369141,12.5,0,1,3.80
2,2015010100,-73.944709777832031,40.779640197753906,7.5,1.6,5,1.84
1,2015010100,-73.970443725585937,40.754280090332031,8,3,1,1.50
2,2015010100,-73.980812072753906,40.738010406494141,6,1,1,.74
2,2015010100,-73.993766784667969,40.686771392822266,16,0,5,4.27
1,2015010100,-73.986396789550781,40.767162322998047,12.5,0,2,1.00
2,2015010100,-73.98175048828125,40.730007171630859,8.5,0,3,2.36
1,2015010100,-73.968055725097656,40.757602691650391,27.5,0,1,9.20
2,2015010100,-73.983818054199219,40.744068145751953,36.5,9.25,2,12.83
2,2015010100,-73.965316772460938,40.713920593261719,5.5,0,2,1.00
1,2015010100,-73.991340637207031,40.744606018066406,11.5,0,1,1.90
2,2015010100,-73.99169921875,40.731769561767578,7.5,1,1,1.37
1,2015010100,-73.990463256835938,40.734935760498047,7,1,1,1.50
1,2015010100,-73.975349426269531,40.749370574951172,18,0,1,4.70
2,2015010100,-73.975814819335938,40.744831085205078,4,0,2,.50
2,2015010100,-73.990745544433594,40.731353759765625,24.5,5,1,6.35
1,2015010100,-73.987968444824219,40.765193939208984,48.5,0,1,15.30
1,2015010100,-74.001937866210937,40.730224609375,15.5,2.5,1,2.70
1,2015010100,-74.007331848144531,40.740970611572266,9.5,0,3,1.90
1,2015010100,-73.966110229492188,40.754150390625,5.7,1.75,4,1.20
1,2015010100,-73.989517211914062,40.739982604980469,12.7,3.5,1,2.50
1,2015010100,-73.984092712402344,40.767265319824219,15.5,0,1,2.00
2,2015010100,-73.956069946289063,40.714023590087891,9,0,5,2.28
1,2015010100,-73.984230041503906,40.737331390380859,9,0,1,1.70
2,2015010100,-73.980911254882812,40.741798400878906,9.5,2,1,1.80
1,2015010100,-73.991401672363281,40.731662750244141,15.5,0,1,3.70
2,2015010100,-73.965126037597656,40.759601593017578,13.5,2.8,1,3.89
1,2015010100,-73.99609375,40.75360107421875,8.5,0,1,1.00
1,2015010100,-73.982124328613281,40.737545013427734,13.5,0,4,2.60
2,2015010100,-73.924034118652344,40.758281707763672,7,5,2,1.45
1,2015010100,-73.994010925292969,40.741424560546875,3,0.85,1,.20
1,2015010100,-73.978240966796875,40.753288269042969,22,0,2,6.20
1,2015010100,-73.970481872558594,40.795753479003906,10.5,1.2,1,2.30
