VendorID,pickup_datetime,pickup_longitude,pickup_lattitude,fare_amount,tip_amount,passenger_count,trip_distance
1,2015012700,-73.868240356445313,40.749332427978516,7.5,0,2,1.50
2,2015012700,-73.992820739746094,40.75482177734375,22,6.99,2,6.09
1,2015012700,-73.986557006835938,40.766677856445313,18.5,0,2,4.80
1,2015012700,-73.938545227050781,40.805088043212891,6,0,1,1.10
2,2015012701,-73.956077575683594,40.771991729736328,3,0,1,.34
1,2015012701,-73.983734130859375,40.727020263671875,8,0,1,1.80
1,2015012701,-73.907997131347656,40.745372772216797,11,0,2,2.50
2,2015012701,-73.936279296875,40.749969482421875,10.5,0,1,2.97
1,2015012701,-73.964027404785156,40.760993957519531,13.5,0,1,3.80
2,2015012702,-73.988983154296875,40.736549377441406,9.5,0,2,1.59
1,2015012702,-73.977401733398437,40.742824554443359,7,0,1,1.40
1,2015012702,-73.963714599609375,40.76141357421875,4.5,1.15,3,.50
1,2015012704,-73.964492797851563,40.8074951171875,17,0,1,4.00
2,2015012704,0,0,1.9,0,2,.00
2,2015012704,-73.941841125488281,40.798389434814453,9,0,1,2.69
2,2015012705,-73.995330810546875,40.725105285644531,17,0,1,3.86
2,2015012705,-73.869926452636719,40.733661651611328,14,0,1,3.96
1,2015012705,-74.015960693359375,40.710987091064453,19.5,5.05,1,5.60
2,2015012705,-73.959808349609375,40.773609161376953,4.5,0,1,.71
2,2015012706,-73.987739562988281,40.775459289550781,16.5,0,2,4.68
2,2015012706,-73.993507385253906,40.746879577636719,6.5,1.46,1,1.56
2,2015012706,-74.001937866210937,40.740325927734375,10,3.24,1,2.43
1,2015012706,-74.008689880371094,40.714397430419922,8.5,1.7,1,2.30
1,2015012706,-73.995803833007812,40.687152862548828,14.5,4.55,1,4.30
2,2015012706,-73.933639526367188,40.751789093017578,14,6.5,1,3.55
2,2015012706,-74.004386901855469,40.715656280517578,14,0,3,3.48
2,2015012706,-74.015090942382813,40.715789794921875,5,1.45,1,.65
2,2015012706,-73.941795349121094,40.798469543457031,10,10,4,2.84
1,2015012706,-74.007591247558594,40.725994110107422,21,4.36,1,5.80
1,2015012707,-73.902633666992188,40.745723724365234,12.5,0,1,3.10
2,2015012707,-73.98931884765625,40.763031005859375,20,6.24,1,5.58
2,2015012707,-73.986770629882813,40.757747650146484,11.5,0,1,3.31
1,2015012707,-73.980911254882812,40.752426147460938,11.5,2,1,2.50
2,2015012707,-73.971481323242187,40.758808135986328,11,0,1,3.10
2,2015012707,-73.954841613769531,40.76544189453125,11.5,2,1,3.13
1,2015012707,0,0,5.5,2,1,1.30
2,2015012707,-73.985580444335937,40.727241516113281,11.5,3.45,5,3.06
1,2015012707,-74.010177612304688,40.719944000244141,12,0,1,3.00
1,2015012707,0,0,7,5,1,1.50
2,2015012707,-73.956771850585938,40.765300750732422,9.5,5.7,6,2.14
2,2015012707,-73.991783142089844,40.735279083251953,11.5,0,1,2.61
2,2015012707,-73.98931884765625,40.768150329589844,9.5,0,1,2.48
1,2015012707,-73.984283447265625,40.759529113769531,14,0,1,3.50
1,2015012707,-73.984474182128906,40.770423889160156,6,0,1,1.20
2,2015012707,-73.957069396972656,40.777568817138672,7.5,0,6,1.78
2,2015012707,-74.015571594238281,40.707561492919922,4,5,5,.38
2,2015012707,-74.0079345703125,40.715095520019531,12.5,2.66,1,3.53
1,2015012707,-74.023521423339844,40.634716033935547,7,0,1,13.70
1,2015012707,-73.982048034667969,40.769058227539062,17,0,1,4.20
1,2015012708,-73.98638916015625,40.746021270751953,9.5,0,2,2.50
2,2015012708,-73.990005493164062,40.757061004638672,15.5,3.26,1,4.23
2,2015012708,-73.967643737792969,40.802982330322266,15,3.16,1,4.09
2,2015012708,-73.982231140136719,40.770240783691406,5.5,0,2,1.04
2,2015012708,-74.001205444335938,40.676803588867188,21.5,2.7,1,7.65
2,2015012708,-73.984962463378906,40.732421875,13,2.76,1,3.24
2,2015012708,-73.972518920898437,40.793930053710938,10.5,2.62,1,2.57
2,2015012708,-73.979652404785156,40.643108367919922,29.5,0,1,10.02
