VendorID,pickup_datetime,pickup_longitude,pickup_lattitude,fare_amount,tip_amount,passenger_count,trip_distance
2,2015012800,-73.982162475585937,40.731098175048828,8.5,1,2,1.83
1,2015012800,-73.985145568847656,40.732532501220703,26.5,5,1,8.30
1,2015012800,-73.888656616210938,40.747039794921875,5.5,0,3,.90
1,2015012800,-74.006034851074219,40.735694885253906,16,4.3,2,4.30
1,2015012800,-73.959434509277344,40.711540222167969,10.5,2.35,1,2.80
1,2015012800,-73.958030700683594,40.708343505859375,6,0,1,1.10
1,2015012800,-73.961624145507813,40.796070098876953,24,5.05,1,7.60
2,2015012800,-73.991386413574219,40.744827270507813,9,1,5,1.95
2,2015012800,-73.99737548828125,40.741611480712891,9,0,2,2.02
2,2015012800,-73.991958618164063,40.742485046386719,6,2.19,4,1.20
1,2015012800,-73.972702026367188,40.752555847167969,8.5,1.95,1,2.10
2,2015012800,-73.994468688964844,40.7276611328125,5.5,1.36,1,.84
2,2015012800,-73.972709655761719,40.749515533447266,5.5,1,1,.96
1,2015012800,-73.95880126953125,40.768276214599609,5,0,1,1.00
1,2015012800,-73.987800598144531,40.719249725341797,21,0,1,6.90
1,2015012800,-73.970382690429688,40.756664276123047,7,1,1,1.90
2,2015012800,-73.992744445800781,40.758453369140625,7.5,2,2,1.57
2,2015012800,-73.9578857421875,40.774593353271484,6,0,1,1.14
1,2015012800,-73.997817993164062,40.741203308105469,5.5,1,1,1.30
1,2015012800,0,0,6,1.5,2,.90
1,2015012800,-73.987136840820313,40.720542907714844,13.5,0,1,3.80
2,2015012800,-74.000389099121094,40.730117797851563,12,3.32,5,3.35
2,2015012800,-74.001594543457031,40.73583984375,6.5,0,1,1.28
2,2015012800,-73.998832702636719,40.734134674072266,5,0,1,.61
1,2015012800,-73.994880676269531,40.744815826416016,6.5,0,1,1.50
1,2015012800,-73.987258911132813,40.718647003173828,8.5,1,1,1.70
1,2015012800,-73.782485961914063,40.644508361816406,52,0.01,4,17.20
1,2015012800,-73.9884033203125,40.748588562011719,5,1,1,.80
2,2015012800,-73.980812072753906,40.745048522949219,5,1.26,1,.63
1,2015012800,-73.945137023925781,40.782760620117188,6,0,1,1.30
2,2015012800,-73.985671997070313,40.738231658935547,4.5,1.16,1,.52
2,2015012800,-74.000679016113281,40.735935211181641,5,1.26,1,.62
2,2015012800,-73.869926452636719,40.733615875244141,9,0,6,2.25
1,2015012800,-73.995796203613281,40.743812561035156,4.5,2,1,.70
2,2015012800,-73.998123168945313,40.720233917236328,11.5,0,4,2.87
2,2015012800,-73.987762451171875,40.738330841064453,20.5,2.5,1,6.13
2,2015012800,-73.973724365234375,40.763656616210938,6,1.7,5,1.01
2,2015012800,-73.938247680664063,40.796398162841797,4.5,0,6,.80
1,2015012800,-73.988372802734375,40.756931304931641,5,1.85,1,.70
2,2015012800,-73.983917236328125,40.749416351318359,4,0,1,.54
