VendorID,pickup_datetime,pickup_longitude,pickup_lattitude,fare_amount,tip_amount,passenger_count,trip_distance
2,2015010500,-73.990921020507812,40.734165191650391,6.5,0,1,1.55
1,2015010500,-73.972053527832031,40.757110595703125,7,1.65,1,1.60
2,2015010500,-73.950996398925781,40.778911590576172,10.5,1,1,3.19
1,2015010500,-73.981719970703125,40.724193572998047,7,0,2,1.30
1,2015010500,-73.996910095214844,40.762859344482422,6,0,2,1.30
1,2015010500,-74.005073547363281,40.718368530273437,20,0,2,5.20
1,2015010500,-73.965690612792969,40.754573822021484,4,0,1,.60
1,2015010500,-73.98663330078125,40.756431579589844,5.5,0,2,1.00
1,2015010500,-73.986976623535156,40.729656219482422,6.5,1.55,1,1.50
1,2015010500,-73.874458312988281,40.774059295654297,26,8.19,1,8.90
1,2015010500,-73.972679138183594,40.759090423583984,10,2.25,1,2.60
1,2015010500,-73.988128662109375,40.759368896484375,21.5,0,1,5.60
2,2015010500,-74.002754211425781,40.733921051025391,18.5,0,1,5.29
1,2015010500,-73.991256713867188,40.696773529052734,7,0,1,1.40
2,2015010500,-73.988441467285156,40.745990753173828,8,0,1,1.42
1,2015010500,-73.98980712890625,40.7257080078125,5,1.26,1,.80
2,2015010500,-73.785858154296875,40.647830963134766,52,11.47,1,18.25
1,2015010500,-73.994544982910156,40.750274658203125,14,0,1,3.90
1,2015010500,-73.87451171875,40.773963928222656,24,6.12,2,8.30
2,2015010500,-73.979972839355469,40.765758514404297,17.5,0,2,5.36
2,2015010500,-73.87298583984375,40.774143218994141,32.5,4,1,11.51
1,2015010500,-73.985206604003906,40.745208740234375,4.5,0,1,.40
2,2015010500,-74.002632141113281,40.733814239501953,7.5,0,1,1.72
2,2015010500,-74.013404846191406,40.7142333984375,21.5,0,1,7.21
2,2015010500,-73.990867614746094,40.760807037353516,5,1.1,1,1.06
1,2015010500,-73.971397399902344,40.762996673583984,5.5,0,1,.90
2,2015010500,-73.963874816894531,40.798782348632812,14,2.4,1,3.81
2,2015010500,-73.783302307128906,40.648639678955078,52,11.47,3,17.30
2,2015010500,-73.98223876953125,40.768657684326172,9,0,1,2.42
1,2015010500,-73.978225708007813,40.7730712890625,5.5,1.35,1,1.20
1,2015010500,-73.862785339355469,40.769088745117188,27,2.5,1,9.40
2,2015010500,-73.870811462402344,40.773731231689453,26,1,1,9.39
1,2015010500,-73.973045349121094,40.7530517578125,5.5,0,2,1.10
1,2015010500,-73.994613647460938,40.750686645507813,43.5,0,2,16.20
1,2015010500,-73.949043273925781,40.781723022460938,20.5,0,3,6.20
2,2015010500,-73.982177734375,40.775291442871094,5,1.1,1,1.04
2,2015010500,-73.98223876953125,40.768527984619141,10.5,3.3,3,3.13
2,2015010500,-73.870826721191406,40.773769378662109,28.5,3,1,9.89
2,2015010500,-73.997238159179687,40.722240447998047,8,1.7,2,1.89
2,2015010500,-73.873489379882813,40.774063110351562,24,4.9,1,8.01
1,2015010500,-73.999038696289062,40.724018096923828,7.5,1.75,1,1.70
2,2015010500,-73.92669677734375,40.755119323730469,4.5,0,1,.77
2,2015010500,-73.967247009277344,40.761154174804688,32.5,6.6,2,11.61
2,2015010500,-73.863983154296875,40.769638061523438,26.5,5,3,9.32
1,2015010500,-73.985816955566406,40.731868743896484,8.5,1.96,1,2.20
1,2015010500,-73.779960632324219,40.647209167480469,52,9,1,19.30
1,2015010500,-73.956413269042969,40.786708831787109,6,1.45,1,1.40
1,2015010500,-73.870948791503906,40.773849487304688,22.5,4.7,1,5.30
2,2015010500,-73.956123352050781,40.763973236083984,4,0,1,.62
1,2015010500,-73.986656188964844,40.733985900878906,18.5,0,1,5.70
2,2015010500,-73.977256774902344,40.752540588378906,4.5,0,5,.54
1,2015010500,-73.979591369628906,40.732883453369141,4,0,1,.70
2,2015010500,-73.987464904785156,40.756450653076172,6.5,1.4,3,1.71
1,2015010500,-73.789642333984375,40.647022247314453,21,0,1,6.70
1,2015010500,-73.786048889160156,40.644313812255859,10.5,3.2,1,3.00
2,2015010500,-73.944900512695313,40.779121398925781,16.5,2.5,3,5.13
1,2015010500,-73.983192443847656,40.761009216308594,5,1.85,1,.60
1,2015010500,-74.011177062988281,40.702903747558594,5.5,1.35,1,.70
1,2015010500,-73.785171508789063,40.648471832275391,52,0,1,19.50
1,2015010500,-73.790321350097656,40.643619537353516,52,0,1,19.00
2,2015010500,-73.982124328613281,40.769321441650391,13.5,2.8,3,3.32
2,2015010500,-73.874618530273438,40.774116516113281,24.5,6.07,6,8.60
2,2015010500,0,0,70,0,1,.00
1,2015010500,-73.785774230957031,40.645709991455078,52,0,3,18.60
1,2015010500,-73.976936340332031,40.747379302978516,37,0,1,12.70
1,2015010500,-73.993278503417969,40.747314453125,4,0,1,.70
2,2015010500,-73.788200378417969,40.641471862792969,52,11.47,1,18.49
2,2015010500,-73.981521606445313,40.76641845703125,5.5,1.2,1,1.10
2,2015010500,-73.982002258300781,40.746200561523438,12,0,1,3.58
2,2015010500,-73.995231628417969,40.759990692138672,6.5,0,1,.92
1,2015010500,-73.974563598632812,40.742122650146484,6.5,0,1,1.10
2,2015010500,-73.98345947265625,40.729881286621094,10,2.1,1,2.97
2,2015010500,-73.997062683105469,40.757530212402344,4.5,0,2,.80
2,2015010500,-73.990249633789063,40.724979400634766,9.5,2,1,2.17
1,2015010500,-73.984512329101563,40.759300231933594,7.5,0,1,1.40
1,2015010500,-73.948745727539063,40.815330505371094,3.5,0.9,1,.30
1,2015010500,-74.002662658691406,40.733978271484375,28,0,1,9.00
1,2015010500,-73.946891784667969,40.800189971923828,5,0,1,.60
1,2015010500,-73.973106384277344,40.744350433349609,6,0.9,1,1.30
2,2015010500,-73.776779174804688,40.645172119140625,19,3.9,1,6.34
2,2015010500,-73.782638549804687,40.644481658935547,14.5,0,2,4.52
2,2015010500,-73.997367858886719,40.732673645019531,10.5,0,1,2.76
2,2015010500,-73.987335205078125,40.729190826416016,6.5,0,1,1.16
1,2015010500,-73.975135803222656,40.761730194091797,6,0,1,.60
2,2015010500,-73.872894287109375,40.774120330810547,20,5.17,5,6.85
2,2015010500,-74.000396728515625,40.742839813232422,7.5,1.6,5,1.79
1,2015010500,-73.987983703613281,40.764774322509766,13,4.25,3,3.30
2,2015010500,-73.986869812011719,40.755931854248047,4.5,0,4,.46
1,2015010500,-74.004158020019531,40.747871398925781,7.5,1.75,1,2.00
2,2015010500,0,0,2.5,0,1,.02
1,2015010500,-73.98199462890625,40.760276794433594,18,3.86,1,5.00
1,2015010500,-73.997177124023438,40.720474243164062,12.5,1,2,3.30
1,2015010500,-73.970329284667969,40.755455017089844,12,4,1,3.40
2,2015010500,-73.992706298828125,40.745281219482422,8.5,1.8,1,1.64
1,2015010500,-73.9632568359375,40.773120880126953,6,0,1,1.30
1,2015010500,-73.994049072265625,40.751228332519531,11.5,0,1,3.40
