VendorID,pickup_datetime,pickup_longitude,pickup_lattitude,fare_amount,tip_amount,passenger_count,trip_distance
1,2015012300,-73.968185424804688,40.757373809814453,12.5,3.99,1,3.00
1,2015012300,-73.983154296875,40.726650238037109,5.5,1.35,1,.80
1,2015012300,-73.983238220214844,40.749713897705078,28.5,4,1,10.00
2,2015012300,-73.906707763671875,40.630573272705078,4.5,1.74,1,.58
1,2015012300,-73.98822021484375,40.745853424072266,19,4.05,1,4.90
1,2015012300,-73.955856323242188,40.714126586914062,19,0,1,4.70
2,2015012300,-74.003089904785156,40.733028411865234,8,1.86,1,1.24
2,2015012300,-73.992652893066406,40.742683410644531,7.5,2.2,1,1.63
2,2015012300,-73.966285705566406,40.761360168457031,13,2.86,1,3.69
2,2015012300,-73.990875244140625,40.719493865966797,7.5,1.92,1,1.73
2,2015012300,-73.988327026367188,40.754791259765625,7,2.08,1,1.36
2,2015012300,-73.988151550292969,40.722122192382813,30,0,2,8.34
2,2015012300,-73.966194152832031,40.75384521484375,8,0,1,2.16
1,2015012300,-73.987823486328125,40.732471466064453,22,1,2,6.00
2,2015012300,-73.971229553222656,40.755172729492188,7,0,1,1.42
1,2015012300,-73.987327575683594,40.771007537841797,5,0,1,1.10
1,2015012300,-73.97088623046875,40.795661926269531,4,1.05,1,.60
2,2015012300,-73.976387023925781,40.763957977294922,3.5,0.96,1,.32
2,2015012300,-73.953292846679688,40.744808197021484,10.5,2.36,5,2.09
1,2015012300,-74.005195617675781,40.728557586669922,27,3,2,7.00
2,2015012300,-73.990989685058594,40.751228332519531,24.5,5.16,2,6.88
2,2015012300,-74.006950378417969,40.719123840332031,3,2,1,.35
1,2015012300,-73.981704711914063,40.777927398681641,5,0,1,1.00
1,2015012300,-73.976707458496094,40.751819610595703,7,0,1,1.00
1,2015012300,-73.968048095703125,40.800716400146484,40,8.25,1,12.00
2,2015012300,-73.999664306640625,40.742626190185547,18,2,1,4.86
1,2015012300,-74.004234313964844,40.742439270019531,4.5,1.16,1,.60
1,2015012300,-73.983467102050781,40.750076293945312,6,1.45,2,1.00
2,2015012300,-74.011749267578125,40.709369659423828,37.5,9.7,1,11.61
2,2015012300,-73.959564208984375,40.771076202392578,20.5,0,1,6.48
1,2015012300,-73.949111938476563,40.713886260986328,8.5,1.96,1,1.90
2,2015012300,-73.988807678222656,40.774250030517578,17.5,2,1,3.84
2,2015012300,-73.995681762695313,40.764255523681641,9,0,5,2.45
2,2015012300,-73.967292785644531,40.756698608398438,4,0.9,1,.46
2,2015012300,-73.990684509277344,40.728595733642578,5.5,1.36,5,.74
2,2015012300,-73.99029541015625,40.757423400878906,10.5,2.2,1,2.67
2,2015012300,-73.986518859863281,40.741371154785156,6.5,1.26,1,1.04
1,2015012300,-73.783584594726563,40.648563385009766,36.5,0,1,13.60
2,2015012300,-73.989242553710938,40.757957458496094,8,1.86,1,1.70
2,2015012300,-73.977943420410156,40.724769592285156,10,0,2,2.72
2,2015012300,-73.974952697753906,40.753181457519531,9.5,0,1,2.57
1,2015012300,0,0,11,2.45,1,3.30
2,2015012300,-73.983642578125,40.762924194335938,5.5,0,1,.97
1,2015012300,-73.98980712890625,40.734333038330078,4.5,0,2,.50
2,2015012300,-73.990280151367188,40.764991760253906,70,21,1,13.09
2,2015012300,-73.992958068847656,40.745479583740234,10.5,0,2,2.68
1,2015012300,-74.004081726074219,40.751888275146484,11,1.7,1,2.60
2,2015012300,-73.983680725097656,40.760631561279297,6,2,1,1.40
2,2015012300,-73.995933532714844,40.726757049560547,17,0,6,4.88
1,2015012300,-73.982429504394531,40.723411560058594,4,0,1,.40
2,2015012300,-73.992500305175781,40.726730346679688,8,1.86,5,1.61
1,2015012300,-73.9825439453125,40.762298583984375,10.5,2.35,2,2.50
2,2015012300,-73.994590759277344,40.750240325927734,6.5,2.34,1,1.22
1,2015012300,-73.995651245117188,40.743919372558594,6.5,0,1,1.10
1,2015012300,-73.961952209472656,40.759632110595703,14.5,3.15,1,3.60
1,2015012300,-73.988258361816406,40.740962982177734,8,2.75,2,1.50
1,2015012300,-73.969001770019531,40.75762939453125,19,0,1,5.50
1,2015012300,-73.995254516601563,40.74957275390625,37,9.57,1,9.80
1,2015012300,-73.988731384277344,40.756881713867188,6.5,0,1,.90
2,2015012300,-74.008796691894531,40.704307556152344,20,0,1,5.63
1,2015012300,-73.989479064941406,40.702590942382812,13.5,0,1,3.20
1,2015012300,-73.956611633300781,40.767055511474609,3.5,1.44,1,.50
1,2015012300,-73.939888000488281,40.748264312744141,12,0,1,2.70
1,2015012300,-73.955802917480469,40.772266387939453,11,0,2,2.50
2,2015012300,-73.9498291015625,40.780601501464844,5,1.58,2,.92
2,2015012300,-73.983421325683594,40.722881317138672,15,3.88,1,3.88
2,2015012300,-73.989822387695313,40.714076995849609,12,1,1,3.40
2,2015012300,-74.003768920898438,40.751850128173828,5.5,1,2,1.07
1,2015012300,-73.986984252929688,40.756309509277344,24.5,6.45,1,7.20
2,2015012300,-74.004615783691406,40.742153167724609,5,1,1,.70
1,2015012300,-73.984092712402344,40.72918701171875,11.5,0,1,3.20
2,2015012300,-73.995956420898438,40.743526458740234,26,1,1,7.72
2,2015012300,-74.000938415527344,40.736839294433594,17,3.66,1,4.68
1,2015012300,-73.991928100585938,40.750205993652344,20,0,1,5.50
1,2015012300,-73.988136291503906,40.721324920654297,10,0,3,2.50
2,2015012300,-73.971511840820313,40.763095855712891,42.5,8.76,1,12.55
2,2015012300,-73.990898132324219,40.751235961914063,6.5,1.56,2,.75
1,2015012300,-73.987403869628906,40.719856262207031,15.5,3.35,2,4.00
1,2015012300,-73.992355346679687,40.750217437744141,8,0,2,1.90
1,2015012300,-73.940437316894531,40.793521881103516,10,0,1,1.60
1,2015012300,-73.985374450683594,40.747913360595703,4.5,2,1,.70
2,2015012300,-73.979621887207031,40.746063232421875,4.5,0,1,.63
2,2015012300,-73.9674072265625,40.803432464599609,5.5,1.5,1,.81
1,2015012300,-73.978782653808594,40.762241363525391,13,2.85,2,3.20
2,2015012300,-73.989288330078125,40.742156982421875,6,1.82,1,1.13
2,2015012300,-73.988700866699219,40.734996795654297,9.5,2.5,3,1.91
1,2015012300,-74.014579772949219,40.714439392089844,4.5,1.7,1,.60
1,2015012300,-73.991355895996094,40.737499237060547,10.5,2.35,1,2.10
1,2015012300,-73.959396362304688,40.767467498779297,12.5,0,1,3.20
