pickup_datetime,avgfare,avgtip,avgpassenger,avgtripdistance
2015012915,13.41,1.51,1.66,2.28
2015012916,13.16,1.59,1.64,2.34
2015012917,12.42,1.51,1.65,2.11
2015012918,11.80,1.48,1.63,1.97
2015012919,11.37,1.49,1.64,2.05
2015012920,11.98,1.61,1.65,2.43
2015012921,12.51,1.69,1.65,2.64
2015012922,12.82,1.71,1.67,2.72
2015012923,12.90,1.69,1.67,2.81
2015013000,13.00,1.58,1.68,2.90
2015013001,12.65,1.55,1.66,2.88
2015013002,12.38,1.30,1.68,2.79
2015013003,13.14,1.26,1.68,3.12
2015013004,14.98,1.55,1.69,3.85
2015013005,14.60,1.81,1.58,3.78
2015013006,11.90,1.41,1.55,2.72
2015013007,11.07,1.28,1.60,2.12
2015013008,11.23,1.36,1.62,1.82
2015013009,11.51,1.38,1.61,1.77
2015013010,11.89,1.34,1.62,1.86
2015013011,12.26,1.38,1.62,1.92
2015013012,12.59,1.39,1.63,2.09
2015013013,12.25,1.39,1.65,2.11
2015013014,12.90,1.45,1.64,2.30
2015013015,12.79,1.45,1.66,2.28
2015013016,12.18,1.45,1.64,2.23
2015013017,11.86,1.41,1.65,2.09
2015013018,11.14,1.37,1.65,1.90
2015013019,10.91,1.36,1.67,1.93
2015013020,11.16,1.41,1.69,2.06
2015013021,11.45,1.43,1.70,2.21
2015013022,11.77,1.45,1.73,2.34
2015013023,12.40,1.52,1.75,2.54
2015013100,12.37,1.52,1.74,2.59
2015013101,12.17,1.49,1.74,2.57
2015013102,12.09,1.44,1.73,2.60
2015013103,12.40,1.45,1.74,2.75
2015013104,13.38,1.28,1.71,3.13
2015013105,15.84,1.73,1.67,4.14
2015013106,14.56,1.68,1.60,32.93
2015013107,12.61,1.38,1.58,2.97
2015013108,10.43,1.15,1.63,2.13
2015013109,9.85,1.07,1.67,1.87
2015013110,9.68,1.02,1.70,1.73
2015013111,10.06,1.08,1.70,1.78
2015013112,10.15,1.08,1.72,1.73
2015013113,10.49,1.12,1.74,1.76
2015013114,10.94,1.15,1.73,1.93
2015013115,10.86,1.14,1.72,1.94
2015013116,10.82,1.14,1.72,1.98
2015013117,10.83,1.16,1.72,1.96
2015013118,10.85,1.17,1.73,2.98
2015013119,10.98,1.21,1.74,1.87
2015013120,11.07,1.27,1.75,162.23
2015013121,11.00,1.26,1.76,1.98
2015013122,11.29,1.32,1.78,3.81
2015013123,11.51,1.35,1.77,2.25
